Yıl,Adana,Adıyaman,Afyonkarahisar,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydın,Ağrı,Balıkesir,Bartın,Batman,Bayburt,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Denizli,Diyarbakır,Düzce,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Isparta,Iğdır,Kahramanmaraş,Karabük,Karaman,Kars,Kastamonu,Kayseri,Kilis,Kocaeli,Konya,Kütahya,Kırklareli,Kırıkkale,Kırşehir,Malatya,Manisa,Mardin,Mersin,Muğla,Muş,Nevşehir,Niğde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdağ,Tokat,Trabzon,Tunceli,Uşak,Van,Yalova,Yozgat,Zonguldak,Çanakkale,Çankırı,Çorum,İstanbul,İzmir,Şanlıurfa,Şırnak
2007,1319,0,0,0,0,9142,3240,0,0,636,0,0,0,0,0,0,0,461,0,0,2716,0,706,0,0,0,460,655,200,0,178,0,750,612,0,0,0,0,0,311,0,0,0,1410,293,400,660,0,0,0,0,0,200,0,710,0,0,209,0,0,0,930,0,350,344,0,36,460,0,0,3350,0,0,0,0,0,0,8159,3305,300,0
2008,1409,0,569,0,0,8967,1730,0,0,636,0,0,0,300,0,0,0,210,200,280,3183,0,701,0,0,0,360,655,1147,0,170,0,650,612,0,0,0,0,0,311,0,0,0,1415,293,390,403,0,0,0,2219,470,1100,0,550,0,0,207,1000,0,250,1493,0,300,344,0,200,330,0,351,1408,185,0,0,0,0,350,23281,11970,325,0
2009,1499,0,660,0,0,7621,908,0,0,0,0,0,0,297,0,0,0,214,200,0,2188,0,701,0,0,3000,500,655,2391,0,170,0,300,270,0,0,480,0,0,311,0,544,0,845,893,390,633,0,0,0,1641,0,1020,0,0,0,0,207,654,0,676,1414,0,550,344,0,0,330,0,351,1699,0,0,0,0,0,418,32448,12352,325,0
2010,1633,638,300,1068,0,8218,2271,180,0,5025,0,0,120,566,0,0,725,850,1099,0,6911,1977,701,723,0,1077,500,510,3544,1050,418,0,300,1526,0,500,658,1150,0,650,0,2526,0,3866,893,383,1143,342,1978,1276,2091,1106,1020,10850,0,1625,1410,397,994,0,2588,1528,700,650,344,0,0,470,505,801,892,546,0,735,0,0,724,45886,22411,1593,0
2011,2722,638,300,1488,0,7306,3575,380,445,4745,245,0,247,594,0,0,810,410,891,600,5448,3892,721,735,0,2106,1000,1785,3140,1050,334,376,0,2834,755,360,963,1683,0,650,574,3081,250,3322,2393,1322,150,656,1076,3057,2494,1116,2267,11526,0,1704,1374,1090,1250,820,2365,1440,650,1210,2189,0,0,2295,580,491,412,1099,2415,736,0,306,706,54736,27840,1800,0
2012,3629,638,305,1033,705,7713,4056,420,445,5421,520,6500,886,812,378,0,1043,955,891,559,9083,3505,1196,705,0,2329,406,1785,4132,897,1219,395,300,2907,500,505,2283,1691,0,300,574,2981,330,3812,2319,1348,337,342,1980,3509,3485,1907,3891,11447,230,2781,830,1224,507,1632,1307,3113,804,1140,2350,610,750,3517,1530,491,412,1119,1955,2400,3059,306,774,55999,29541,795,950
2013,3361,638,1955,2198,663,11055,5339,380,6295,3602,280,11992,1348,816,309,0,910,1178,899,860,6067,3859,1429,730,972,2859,406,1285,3719,874,956,580,300,3150,1325,505,2561,800,370,642,696,4296,330,3806,2815,1532,723,342,1296,5765,2748,1747,7964,10600,960,2464,819,2220,1100,1020,2820,2696,688,1690,1499,605,751,2710,1901,491,561,995,1422,4245,4490,319,724,61459,21955,780,300
2014,3543,307,1850,1023,675,16042,5975,350,1613,5628,260,4819,1233,866,386,0,1050,761,2026,809,5748,5808,3930,720,970,1960,406,1290,3918,4967,1080,315,492,2682,995,505,2697,940,866,659,701,4742,922,2703,5060,1906,898,340,286,2804,2335,1277,6625,11150,1001,1976,380,2887,2053,1625,2206,1892,2406,1715,1800,2835,1151,3300,557,700,513,839,1616,2749,3832,319,350,68159,25389,1934,480
2015,4231,307,790,1023,685,13549,5968,350,1213,3429,1082,2708,1424,769,306,0,820,551,2328,1103,4801,1792,1077,500,922,2043,406,251,4021,4158,1443,315,500,5133,934,505,2912,1161,781,659,1201,4599,999,5497,6422,2417,1308,342,286,4711,2600,1717,7505,4293,510,1608,369,3107,876,825,3496,2827,1138,1496,1793,3031,1151,5570,280,694,658,789,931,2450,1182,319,768,76749,23616,1672,180
2016,4615,915,750,1043,905,14857,5304,0,837,4360,1078,3008,850,1410,272,0,2050,875,2323,2112,4423,3258,3093,650,2060,2090,0,251,4024,7296,1033,350,360,3972,934,460,2207,1271,371,657,1702,5546,910,5512,6036,1413,1228,342,286,3716,2769,890,6690,6958,530,1954,369,2891,1193,2275,2433,2727,650,1626,1444,2354,1151,4828,740,554,380,799,1666,3965,2550,319,768,69493,21977,1927,0
2017,6646,1030,750,1043,2020,21599,5813,430,1177,3770,1214,5828,627,290,272,680,1470,619,2729,609,4093,3251,3198,1450,3828,968,0,226,5197,5969,626,315,300,4462,1000,360,3172,1525,791,657,1704,5281,880,5822,7590,1420,1223,342,286,3997,2899,260,9211,6360,763,1779,369,3135,523,1492,3331,2119,188,1390,1446,4886,1110,3710,530,554,395,1519,1005,3800,3340,319,768,71603,28271,1590,0
